Wavelength,Sample_1_Absorbance,Sample_2_Absorbance
220,1.13,1.38
221,1.16,1.43
222,1.17,1.45
223,1.21,1.48
224,1.22,1.47
225,1.24,1.47
226,1.24,1.45
227,1.24,1.48
228,1.24,1.48
229,1.24,1.48
230,1.23,1.48
231,1.24,1.49
232,1.25,1.49
233,1.26,1.5
234,1.26,1.51
235,1.27,1.52
236,1.27,1.53
237,1.29,1.53
238,1.29,1.53
239,1.29,1.54
240,1.29,1.53
241,1.3,1.54
242,1.3,1.53
243,1.31,1.55
244,1.31,1.55
245,1.31,1.55
246,1.31,1.55
247,1.32,1.56
248,1.31,1.55
249,1.32,1.55
250,1.32,1.55
251,1.32,1.56
252,1.32,1.56
253,1.32,1.57
254,1.33,1.57
255,1.33,1.58
256,1.33,1.58
257,1.33,1.59
258,1.34,1.6
259,1.33,1.6
260,1.33,1.6
261,1.33,1.61
262,1.33,1.61
263,1.33,1.61
264,1.33,1.61
265,1.33,1.61
266,1.33,1.61
267,1.33,1.61
268,1.34,1.61
269,1.34,1.62
270,1.34,1.61
271,1.34,1.62
272,1.34,1.62
273,1.34,1.62
274,1.34,1.63
275,1.34,1.63
276,1.34,1.63
277,1.34,1.64
278,1.34,1.64
279,1.35,1.64
280,1.35,1.65
281,1.35,1.65
282,1.36,1.65
283,1.36,1.65
284,1.36,1.65
285,1.37,1.66
286,1.37,1.66
287,1.38,1.67
288,1.38,1.67
289,1.39,1.68
290,1.39,1.68
291,1.4,1.69
292,1.4,1.69
293,1.41,1.69
294,1.41,1.7
295,1.41,1.7
296,1.41,1.7
297,1.42,1.71
298,1.42,1.71
299,1.43,1.71
300,1.43,1.71
301,1.44,1.72
302,1.44,1.72
303,1.44,1.73
304,1.45,1.73
305,1.45,1.74
306,1.46,1.74
307,1.47,1.74
308,1.47,1.75
309,1.47,1.75
310,1.48,1.76
311,1.48,1.76
312,1.48,1.76
313,1.49,1.77
314,1.49,1.77
315,1.49,1.77
316,1.5,1.77
317,1.5,1.77
318,1.5,1.78
319,1.51,1.78
320,1.51,1.78
321,1.51,1.79
322,1.52,1.79
323,1.52,1.79
324,1.52,1.8
325,1.52,1.8
326,1.52,1.79
327,1.52,1.79
328,1.52,1.8
329,1.53,1.8
330,1.53,1.8
331,1.53,1.8
332,1.53,1.8
333,1.53,1.8
334,1.54,1.81
335,1.53,1.82
336,1.54,1.82
337,1.54,1.82
338,1.54,1.82
339,1.54,1.82
340,1.54,1.83
341,1.55,1.83
342,1.55,1.83
343,1.55,1.83
344,1.55,1.83
345,1.55,1.83
346,1.55,1.83
347,1.56,1.83
348,1.56,1.83
349,1.56,1.83
350,1.57,1.83
351,1.57,1.83
352,1.58,1.83
353,1.58,1.83
354,1.59,1.83
355,1.59,1.83
356,1.59,1.83
357,1.59,1.83
358,1.59,1.83
359,1.54,1.79
360,1.49,1.76
361,1.46,1.73
362,1.42,1.7
363,1.39,1.67
364,1.39,1.67
365,1.39,1.67
366,1.39,1.67
367,1.39,1.67
368,1.39,1.67
369,1.4,1.66
370,1.4,1.66
371,1.4,1.66
372,1.4,1.66
